text,category,severity
"House is filling up with smoke on the rooftop, need immediate evacuation",evacuation,4
"House is filling up with smoke on the second floor, need immediate evacuation",evacuation,4
"My grandmother needs to be evacuated near the old bridge, road is flooded, no other way out",evacuation,3
"My grandmother needs insulin urgently, we ran out and can't get to a pharmacy",medical,3
"My husband is having a severe allergic reaction, in the collapsed building, please advise",medical,5
"Infant needs formula milk on the second floor, we have none left and store is shut",water_food,4
"Two of my coworkers is having trouble breathing and lips are turning blue, on the rooftop",medical,5
"We are crushed under a fallen wall on the rooftop, a pregnant woman can't feel their legs",trapped_injured,5
A child got stuck between fallen beams on the rooftop and is in a lot of pain,trapped_injured,4
"Just checking if anyone has heard from my sister, no updates since morning",informational,2
We have supplies but can't reach the distribution point by the water tank,water_food,2
There is a large crack spreading across the wall on the rooftop and it keeps getting worse,structural_rescue,3
"My husband is having trouble breathing and lips are turning blue, close to the highway",medical,5
"Roof partially caved in in the basement, my roommate and others are trapped in the room below",structural_rescue,4
"We are safe behind the market, just letting the family group know",informational,1
"Trapped at the school shelter for over an hour, my husband is losing consciousness",trapped_injured,5
"House is filling up with smoke behind the market, need immediate evacuation",evacuation,4
"Running low on drinking water at the school shelter, six of us stranded here",water_food,3
We have supplies but can't reach the distribution point close to the highway,water_food,2
"Wall collapsed onto the shelter near the riverbank, unknown number of people underneath",structural_rescue,5
"Two of my coworkers needs insulin urgently, we ran out and can't get to a pharmacy",medical,3
Wanted to know if the main road towards the city is passable now,informational,1
"Considering evacuating in the basement soon, would like guidance on safest route",evacuation,2
"We are safe for now but stranded near the old bridge, requesting evacuation route",evacuation,2
"House is filling up with smoke in the collapsed building, need immediate evacuation",evacuation,4
"We are safe at the bus stand, just letting the family group know",informational,1
"Water is rising fast behind the market, we need an evacuation boat soon",evacuation,4
"A gas line ruptured near the collapsed structure at the school shelter, people still trapped",structural_rescue,4
Wanted to know if the main road towards the city is passable now,informational,1
"Roof partially caved in close to the highway, my sister and others are trapped in the room below",structural_rescue,4
"My roommate just went into labor on the second floor, we need a medical team fast",medical,4
"We are starving at the bus stand, haven't had a proper meal in three days",water_food,3
"An elderly man has a high fever and won't wake up, we are close to the highway",medical,5
"Is the road on the second floor clear yet, planning to head back home",informational,1
"An elderly man needs to be evacuated in the basement, road is flooded, no other way out",evacuation,3
"My grandmother needs clean water urgently, near the old bridge, getting dehydrated",water_food,4
"We are safe in the collapsed building, just letting the family group know",informational,1
"The family next door is having trouble breathing and lips are turning blue, near the riverbank",medical,5
"Foundation looks shifted near the riverbank, floor is uneven and door frames won't close",structural_rescue,3
"My father needs clean water urgently, near the old bridge, getting dehydrated",water_food,4
"Two of my coworkers is not breathing properly, pinned under something heavy in the basement",trapped_injured,5
"Has anyone seen my dog, he ran off during the storm close to the highway",informational,1
"Just checking if anyone has heard from the family next door, no updates since morning",informational,2
"My father is having trouble breathing and lips are turning blue, on the second floor",medical,5
"Fire is spreading on Church Street, requesting evacuation transport",evacuation,4
"My father is badly injured and can't move, at the school shelter, need help now",trapped_injured,4
"The building at the bus stand is cracking and could collapse, people still inside",structural_rescue,4
"Considering evacuating by the water tank soon, would like guidance on safest route",evacuation,2
Wanted to know if the main road towards the city is passable now,informational,1
"We are crushed under a fallen wall in the collapsed building, two of my coworkers can't feel their legs",trapped_injured,5
A child is showing signs of infection from an untreated wound close to the highway,medical,3
We have supplies but can't reach the distribution point by the water tank,water_food,2
"My husband collapsed suddenly and isn't responding to us, by the water tank",medical,5
"We are safe on the second floor, just letting the family group know",informational,1
"Has anyone seen my dog, he ran off during the storm in the collapsed building",informational,1
"Trapped on Church Street for over an hour, the family next door is losing consciousness",trapped_injured,5
"My husband needs to be evacuated at the bus stand, road is flooded, no other way out",evacuation,3
"We are safe for now but stranded on the second floor, requesting evacuation route",evacuation,2
Just wanted to say thank you to the volunteers helping at the school shelter,informational,1
"Considering evacuating by the water tank soon, would like guidance on safest route",evacuation,2
"Roof partially caved in behind the market, an elderly man and others are trapped in the room below",structural_rescue,4
"Just checking if anyone has heard from the family next door, no updates since morning",informational,2
"A live wire fell on Church Street, nobody can safely get in or out until it's handled",structural_rescue,4
"We are safe near the riverbank, just letting the family group know",informational,1
"Foundation looks shifted by the water tank, floor is uneven and door frames won't close",structural_rescue,3
"Just checking if anyone has heard from my sister, no updates since morning",informational,2
"Foundation looks shifted on Church Street, floor is uneven and door frames won't close",structural_rescue,3
"Fire is spreading in the basement, requesting evacuation transport",evacuation,4
"We are pinned down by fallen concrete near the riverbank, my sister is bleeding heavily",trapped_injured,4
"A pregnant woman just went into labor at the school shelter, we need a medical team fast",medical,4
"An elderly man needs clean water urgently, near the riverbank, getting dehydrated",water_food,4
"My father has a deep cut that won't stop bleeding, by the water tank",medical,3
Just wanted to say thank you to the volunteers helping at the school shelter,informational,1
"A child needs to be evacuated in the basement, road is flooded, no other way out",evacuation,3
"My grandmother is vomiting blood on Church Street, we don't know what's wrong",medical,4
"We are pinned down by fallen concrete at the school shelter, my mother is bleeding heavily",trapped_injured,4
Can someone confirm if the shelter at the school shelter is still open,informational,1
"An elderly man is badly injured and can't move, in the collapsed building, need help now",trapped_injured,4
"Landslide warning issued near at the bus stand, requesting transport out",evacuation,3
"A child needs clean water urgently, in the basement, getting dehydrated",water_food,4
We have supplies but can't reach the distribution point by the water tank,water_food,2
"The building near the old bridge is cracking and could collapse, people still inside",structural_rescue,4
"Infant needs formula milk close to the highway, we have none left and store is shut",water_food,4
"We are safe in the basement, just letting the family group know",informational,1
"A gas line ruptured near the collapsed structure behind the market, people still trapped",structural_rescue,4
